ingredient_obo_uri	pt_obo_uri
 CHEBI_45951	HP_0001913
CHEBI_204928	HP_0001913
CHEBI_107736	HP_0001913
 CHEBI_5775	HP_0001913
CHEBI_9241	HP_0001913
CHEBI_8597	HP_0001913
 CHEBI_2379	HP_0001913
CHEBI_31236	HP_0001913
CHEBI_478164	HP_0001913
 CHEBI_8024	HP_0001913
CHEBI_6761	HP_0001913
CHEBI_9738	HP_0001913
CHEBI_16664	HP_0001913
CHEBI_31401	HP_0001913
CHEBI_5138	HP_0001913
CHEBI_28593	HP_0001913
CHEBI_4657	HP_0001913
CHEBI_15854 	HP_0001913
CHEBI_6775	HP_0001913
 CHEBI_8776	HP_0001913
CHEBI_9142	HP_0001913
CHEBI_82978	HP_0001913
 CHEBI_3082	HP_0001913
CHEBI_28077	HP_0001913
CHEBI_9334	HP_0001913
CHEBI_44185 	HP_0001913
CHEBI_82975	HP_0002027
CHEBI_5384	HP_0002027
CHEBI_85994	HP_0002027
CHEBI_145791	HP_0002027
CHEBI_135888	HP_0002027
